29,750000
-8,400000
29,583333
20,916667
14,800000
69,716667
64,533333
38,716667
33,083333
32,433333
31,583333
31,466667
31,383333
32,200000
32,500000
32,600000
32,750000
33,166667
33,283333
33,450000
33,600000
34,200000
26,366667
26,216667
35,550000
35,533333
35,516667
36,616667
37,916667
38,083333
33,866667
33,383333
33,966667
33,966667
35,133333
34,850000
34,816667
35,066667
34,066667
34,150000
34,233333
34,650000
34,450000
34,183333
34,033333
42,983333
41,783333
43,200000
43,950000
40,833333
38,316667
36,933333
36,500000
35,733333
35,666667
36,050000
39,166667
43,116667
35,183333
35,100000
35,450000
30,000000
32,283333
32,083333
39,000000
40,683333
38,916667
38,716667
35,983333
34,733333
6,950000
7,066667
7,833333
8,333333
10,366667
10,700000
13,750000
23,050000
22,616667
13,950000
13,366667
-9,416667
-15,516667
4,566667
5,516667
10,216667
10,383333
10,766667
11,883333
16,750000
19,283333
-6,216667
-13,816667
19,733333
-41,183333
-41,450000
-36,850000
-39,483333
-41,283333
-39,066667
-36,933333
-41,266667
-41,283333
-18,133333
-21,816667
-20,316667
-12,200000
-42,883333
-43,166667
-40,766667
-32,916667
-33,866667
-34,000000
-34,483333
-38,350000
-38,150000
-4,816667
-19,266667
-23,583333
-27,466667
-1,900000
-2,733333
3,266667
4,466667
4,616667
5,283333
5,983333
6,883333
0,100000
-1,450000
-2,750000
-1,983333
1,350000
-7,733333
1,233333
1,200000
8,550000
8,547852
