-95,333333
-34,966667
32,366667
71,516667
120,266667
170,300000
40,533333
-90,200000
131,866667
131,666667
130,566667
131,100000
130,550000
130,383333
130,533333
130,466667
129,883333
129,716667
129,883333
129,966667
130,400000
129,300000
127,966667
127,683333
133,250000
135,200000
135,333333
136,600000
139,050000
138,566667
134,666667
133,300000
130,866667
133,266667
138,700000
136,950000
137,216667
136,866667
136,216667
135,200000
135,133333
135,183333
133,933333
132,433333
131,816667
144,366667
140,716667
141,016667
141,633333
140,750000
141,033333
140,900000
140,633333
140,850000
139,983333
129,383333
127,450000
131,900000
128,566667
129,033333
129,400000
122,100000
119,850000
118,750000
117,700000
122,233333
121,666667
125,400000
126,616667
127,750000
126,216667
125,616667
123,433333
123,866667
123,633333
122,583333
121,050000
113,500000
120,250000
122,233333
123,733333
159,950000
167,166667
103,466667
105,016667
103,966667
104,483333
106,716667
109,166667
-169,516667
166,616667
155,633333
-171,766667
-155,066667
146,366667
147,116667
174,766667
176,916667
174,783333
174,033333
174,783333
173,266667
174,016667
178,416667
114,183333
118,583333
136,700000
147,333333
146,983333
145,283333
151,783333
151,200000
151,233333
150,916667
145,233333
144,366667
136,966667
146,816667
150,850000
153,033333
136,250000
121,066667
113,066667
114,000000
114,316667
115,233333
116,066667
116,850000
117,483333
116,766667
111,716667
121,333333
102,166667
109,000000
103,766667
103,800000
81,216667
79,850000
